33 [(7017, 2311) (7232, 2526)] 0.45338926002626495 0
33 [(1045, 2359) (1260, 2574)] 0.8021021005043513 1
34 [(3120, 2244) (3299, 2423)] 0.43389207258645424 0
34 [(7022, 2344) (7201, 2523)] 0.4334927651104287 0
34 [(1045, 2359) (1260, 2574)] 0.7628839379100809 1
35 [(3120, 2244) (3299, 2423)] 0.4617526385854127 0
35 [(1045, 2359) (1260, 2574)] 0.7838407394645498 1
35 [(7022, 2344) (7201, 2523)] 0.5288104100289932 0
36 [(3120, 2244) (3299, 2423)] 0.44748537955862777 0
36 [(1045, 2359) (1260, 2574)] 0.76310150619661 1
37 [(3120, 2244) (3299, 2423)] 0.4600904345505274 0
37 [(1045, 2359) (1260, 2574)] 0.7345736076720242 1
38 [(3120, 2244) (3299, 2423)] 0.4591873115368012 0
38 [(1045, 2359) (1260, 2574)] 0.7356707085470412 1
39 [(3120, 2244) (3299, 2423)] 0.4494370971869249 0
39 [(1074, 2384) (1223, 2533)] 0.7279041732926607 1
40 [(3120, 2244) (3299, 2423)] 0.4599722309017319 0
40 [(1074, 2384) (1223, 2533)] 0.7438556781443965 1
41 [(3120, 2244) (3299, 2423)] 0.46253522602066105 0
41 [(1074, 2384) (1223, 2533)] 0.8191214770189876 1
42 [(3120, 2244) (3299, 2423)] 0.47813339727219567 0
42 [(1045, 2359) (1260, 2574)] 0.8278507629657964 1
43 [(3120, 2244) (3299, 2423)] 0.4714454125460711 0
43 [(1045, 2359) (1260, 2574)] 0.8364931227271036 1
44 [(3120, 2244) (3299, 2423)] 0.45468268025897146 0
44 [(1045, 2359) (1260, 2574)] 0.8322992329125417 1
45 [(3120, 2244) (3299, 2423)] 0.46226697495782376 0
45 [(1045, 2359) (1260, 2574)] 0.8328519994461601 1
46 [(3120, 2244) (3299, 2423)] 0.46416205223004525 0
46 [(1045, 2359) (1260, 2574)] 0.8244860030052296 1
47 [(3120, 2244) (3299, 2423)] 0.4878514372761025 0
47 [(1045, 2359) (1260, 2574)] 0.832488995737277 1
48 [(3120, 2244) (3299, 2423)] 0.4784560352669615 0
48 [(1045, 2359) (1260, 2574)] 0.8185520501559997 1
49 [(3120, 2244) (3299, 2423)] 0.4763630196481631 0
49 [(1045, 2359) (1260, 2574)] 0.8182555200173967 1
50 [(3120, 2244) (3299, 2423)] 0.48747118222838626 0
50 [(1045, 2359) (1260, 2574)] 0.7547462726641111 1
51 [(3120, 2244) (3299, 2423)] 0.47970130185495585 0
51 [(1045, 2359) (1260, 2574)] 0.7214562811123568 1
52 [(3120, 2264) (3299, 2443)] 0.4669817990856604 0
52 [(1045, 2359) (1260, 2574)] 0.7203780658443968 1
53 [(3120, 2264) (3299, 2443)] 0.4647470867180117 0
53 [(1045, 2359) (1260, 2574)] 0.728352302616262 1
54 [(3120, 2264) (3299, 2443)] 0.4671102589763553 0
54 [(1045, 2359) (1260, 2574)] 0.7076593831703044 1
55 [(3100, 2244) (3279, 2423)] 0.45486229366785186 0
55 [(1045, 2359) (1260, 2574)] 0.7515470400252939 1
56 [(3100, 2244) (3279, 2423)] 0.4522110005815841 0
56 [(1045, 2359) (1260, 2574)] 0.7393794033026038 1
57 [(3100, 2264) (3279, 2443)] 0.46967578376460994 0
57 [(1045, 2359) (1260, 2574)] 0.8229655326185596 1
58 [(3100, 2264) (3279, 2443)] 0.4843916522402259 0
58 [(1045, 2359) (1260, 2574)] 0.8183668422180833 1
59 [(3120, 2264) (3299, 2443)] 0.4522777651629818 0
59 [(1045, 2359) (1260, 2574)] 0.769876265657943 1
60 [(3120, 2264) (3299, 2443)] 0.45538957013606973 0
60 [(1045, 2359) (1260, 2574)] 0.753876990387586 1
61 [(3120, 2264) (3299, 2443)] 0.4590724489072473 0
61 [(1045, 2359) (1260, 2574)] 0.7488095934992465 1
62 [(3120, 2264) (3299, 2443)] 0.4531273930653833 0
62 [(1045, 2359) (1260, 2574)] 0.7211957706448419 1
63 [(3140, 2264) (3319, 2443)] 0.4686269118702721 0
63 [(1045, 2359) (1260, 2574)] 0.7717280893146031 1
64 [(3140, 2264) (3319, 2443)] 0.43999719185856073 0
64 [(1074, 2384) (1223, 2533)] 0.7180222589842884 1
65 [(3140, 2264) (3319, 2443)] 0.4719696669642037 0
65 [(1045, 2359) (1260, 2574)] 0.7044938263122562 1
66 [(3140, 2264) (3319, 2443)] 0.4666266462392359 0
66 [(1045, 2359) (1260, 2574)] 0.749436988084167 1
67 [(3140, 2264) (3319, 2443)] 0.4854527276692071 0
67 [(1074, 2384) (1223, 2533)] 0.7547436806331361 1
68 [(3140, 2264) (3319, 2443)] 0.4753309006800859 0
68 [(1045, 2359) (1260, 2574)] 0.7218344292416374 1
69 [(3140, 2264) (3319, 2443)] 0.4845822258587819 0
69 [(1045, 2359) (1260, 2574)] 0.70636344171609 1
70 [(3140, 2264) (3319, 2443)] 0.489894924001415 0
70 [(1045, 2359) (1260, 2574)] 0.7273583843564349 1
71 [(3140, 2264) (3319, 2443)] 0.4727297844598821 0
71 [(1045, 2359) (1260, 2574)] 0.7080957887487198 1
72 [(3140, 2264) (3319, 2443)] 0.5159153841670782 0
72 [(1045, 2359) (1260, 2574)] 0.714726582704691 1
73 [(3140, 2264) (3319, 2443)] 0.5215045916110281 0
73 [(1045, 2359) (1260, 2574)] 0.7040505220458446 1
74 [(3123, 2239) (3338, 2454)] 0.5060687093624009 0
74 [(1045, 2359) (1260, 2574)] 0.7095970273272615 1
75 [(3140, 2264) (3319, 2443)] 0.5113309784304688 0
75 [(1045, 2359) (1260, 2574)] 0.7179101278064803 1
76 [(3123, 2239) (3338, 2454)] 0.518237616522284 0
76 [(1045, 2359) (1260, 2574)] 0.6952100408957104 1
77 [(3123, 2239) (3338, 2454)] 0.4757142226564178 0
77 [(1045, 2359) (1260, 2574)] 0.6915549203268949 1
78 [(3123, 2239) (3338, 2454)] 0.5154665699293813 0
78 [(1070, 2364) (1249, 2543)] 0.7305213889460032 1
79 [(3160, 2284) (3339, 2463)] 0.5078317968142582 0
79 [(1045, 2359) (1260, 2574)] 0.7120605151785927 1
80 [(3147, 2239) (3362, 2454)] 0.48452554050738494 0
80 [(1070, 2364) (1249, 2543)] 0.6734115824017521 1
81 [(3147, 2239) (3362, 2454)] 0.4468819062327635 0
81 [(1070, 2364) (1249, 2543)] 0.6839129783038931 1
82 [(3147, 2239) (3362, 2454)] 0.4337120956245683 0
82 [(1070, 2364) (1249, 2543)] 0.6958158830726368 1
83 [(3180, 2284) (3359, 2463)] 0.4729151979974427 0
83 [(1070, 2364) (1249, 2543)] 0.6843404828322178 1
84 [(3180, 2284) (3359, 2463)] 0.42815706193016523 0
84 [(1070, 2364) (1249, 2543)] 0.7120605151785927 1
85 [(3180, 2284) (3359, 2463)] 0.4434318603183213 0
85 [(1070, 2364) (1249, 2543)] 0.7119622617563421 1
86 [(3180, 2284) (3359, 2463)] 0.4261649179882747 0
86 [(1070, 2364) (1249, 2543)] 0.7179491980979474 1
87 [(3180, 2284) (3359, 2463)] 0.42798033122244467 0
87 [(1070, 2364) (1249, 2543)] 0.6848944582753805 1
88 [(3180, 2284) (3359, 2463)] 0.427295280645133 0
88 [(1070, 2364) (1249, 2543)] 0.6961827087558108 1
89 [(3160, 2284) (3339, 2463)] 0.44117322758529387 0
89 [(1070, 2364) (1249, 2543)] 0.6796115028675992 1
90 [(3160, 2284) (3339, 2463)] 0.43042703735303406 0
90 [(1070, 2364) (1249, 2543)] 0.6905717215538387 1
91 [(3160, 2284) (3339, 2463)] 0.44341850072087385 0
91 [(1070, 2364) (1249, 2543)] 0.6813681149863414 1
92 [(3160, 2284) (3339, 2463)] 0.411650402374047 0
92 [(1070, 2364) (1249, 2543)] 0.686104673142315 1
93 [(3140, 2284) (3319, 2463)] 0.46170353691147425 0
93 [(1070, 2364) (1249, 2543)] 0.6894576648125483 1
94 [(3140, 2284) (3319, 2463)] 0.4473662405433484 0
94 [(1070, 2364) (1249, 2543)] 0.6916371690532268 1
95 [(3140, 2284) (3319, 2463)] 0.4524974319447978 0
95 [(1070, 2364) (1249, 2543)] 0.6891708385869453 1
96 [(3120, 2284) (3299, 2463)] 0.44485335795575826 0
96 [(1070, 2364) (1249, 2543)] 0.7011899100174317 1
97 [(3099, 2263) (3314, 2478)] 0.44113796001658934 0
97 [(1070, 2364) (1249, 2543)] 0.7119622617563421 1
98 [(3100, 2284) (3279, 2463)] 0.44897141405168156 0
98 [(1070, 2364) (1249, 2543)] 0.6959122678799298 1
99 [(3100, 2284) (3279, 2463)] 0.4596711152997001 0
99 [(1070, 2364) (1249, 2543)] 0.7146284491187008 1
100 [(3076, 2263) (3291, 2478)] 0.432323780533113 0
100 [(1070, 2364) (1249, 2543)] 0.6987308605746605 1
101 [(3080, 2284) (3259, 2463)] 0.4275663298216865 0
101 [(1070, 2364) (1249, 2543)] 0.7238313408892344 1
102 [(1070, 2364) (1249, 2543)] 0.7334024319702634 1
102 [(3052, 2263) (3267, 2478)] 0.3959159150224989 0
103 [(3060, 2304) (3240, 2483)] 0.41678800690833256 0
103 [(1070, 2364) (1249, 2543)] 0.736184349316933 1
104 [(1070, 2364) (1249, 2543)] 0.750096627366288 1
104 [(3060, 2304) (3240, 2483)] 0.4088912331337452 0
105 [(3040, 2304) (3220, 2483)] 0.43345792745809697 0
105 [(1070, 2364) (1249, 2543)] 0.731471863256718 1
106 [(1070, 2364) (1249, 2543)] 0.736184349316933 1
106 [(3040, 2304) (3220, 2483)] 0.41871058973666436 0
107 [(3040, 2304) (3220, 2483)] 0.4131081085724547 0
107 [(1070, 2364) (1249, 2543)] 0.7182935288702373 1
108 [(1070, 2364) (1249, 2543)] 0.706887566121496 1
108 [(3040, 2304) (3220, 2483)] 0.42578133674804297 0
109 [(1070, 2364) (1249, 2543)] 0.7615190510995138 1
109 [(3021, 2304) (3200, 2483)] 0.43858969817573307 0
110 [(3021, 2304) (3200, 2483)] 0.42443798500257307 0
110 [(1070, 2364) (1249, 2543)] 0.7631370753354767 1
111 [(1070, 2364) (1249, 2543)] 0.7765306470444207 1
111 [(3021, 2304) (3200, 2483)] 0.429215800551377 0
112 [(1070, 2364) (1249, 2543)] 0.7747336032576968 1
112 [(3004, 2287) (3219, 2502)] 0.47128072484236244 0
113 [(1070, 2364) (1249, 2543)] 0.7741295324868532 1
113 [(3040, 2304) (3220, 2483)] 0.4591262518818709 0
114 [(1070, 2364) (1249, 2543)] 0.7781504741230897 1
114 [(3040, 2304) (3220, 2483)] 0.45334248935277216 0
115 [(1070, 2364) (1249, 2543)] 0.7780081056988325 1
115 [(3040, 2284) (3220, 2463)] 0.4466895213821758 0
116 [(1070, 2364) (1249, 2543)] 0.7855483709453511 1
116 [(3060, 2284) (3240, 2463)] 0.4314932142464811 0
117 [(3060, 2284) (3240, 2463)] 0.44829605808436906 0
117 [(1070, 2364) (1249, 2543)] 0.7734805896187789 1
118 [(1070, 2364) (1249, 2543)] 0.8029257233146333 1
118 [(3052, 2263) (3267, 2478)] 0.46570247631897027 0
119 [(1070, 2364) (1249, 2543)] 0.7826740593353513 1
119 [(3080, 2284) (3259, 2463)] 0.46085071284617285 0
120 [(1070, 2364) (1249, 2543)] 0.8075374434312907 1
120 [(3076, 2239) (3291, 2454)] 0.4370662369374951 0
121 [(3100, 2264) (3279, 2443)] 0.45582448213317084 0
121 [(1070, 2364) (1249, 2543)] 0.7751456743047882 1
122 [(3120, 2264) (3299, 2443)] 0.5137917186594475 0
122 [(1070, 2364) (1249, 2543)] 0.8107934469145305 1
123 [(3120, 2264) (3299, 2443)] 0.5020564165509279 0
123 [(1070, 2364) (1249, 2543)] 0.8195306509699178 1
124 [(1070, 2364) (1249, 2543)] 0.828952341038315 1
124 [(3140, 2264) (3319, 2443)] 0.46894169164260024 0
125 [(1070, 2364) (1249, 2543)] 0.7834496613901134 1
125 [(3123, 2239) (3338, 2454)] 0.525725951711928 0
126 [(1070, 2364) (1249, 2543)] 0.8696404282702765 1
126 [(3160, 2284) (3339, 2463)] 0.5178600105948991 0
127 [(1070, 2364) (1249, 2543)] 0.8361058119483524 1
127 [(3147, 2239) (3362, 2454)] 0.5122385209898517 0
128 [(1070, 2364) (1249, 2543)] 0.8352222126415345 1
128 [(3180, 2284) (3359, 2463)] 0.5351285281229177 0
129 [(1070, 2364) (1249, 2543)] 0.8675968031331609 1
129 [(3200, 2284) (3379, 2463)] 0.5205983237988091 0
130 [(1070, 2364) (1249, 2543)] 0.828952341038315 1
130 [(3200, 2284) (3379, 2463)] 0.5090070714323447 0
131 [(1070, 2364) (1249, 2543)] 0.8310851616357401 1
131 [(3195, 2239) (3410, 2454)] 0.5243161376942927 0
132 [(1070, 2364) (1249, 2543)] 0.8146713378103841 1
132 [(3220, 2284) (3399, 2463)] 0.5170371457085845 0
133 [(1070, 2364) (1249, 2543)] 0.8505374287943419 1
133 [(3240, 2284) (3419, 2463)] 0.494568178821591 0
134 [(1070, 2364) (1249, 2543)] 0.8121649419848874 1
135 [(1070, 2364) (1249, 2543)] 0.8335983816702641 1
136 [(1070, 2364) (1249, 2543)] 0.8378944886105574 1
137 [(1070, 2364) (1249, 2543)] 0.821665112950963 1
137 [(3279, 2284) (3459, 2463)] 0.6028162298707658 1
138 [(1070, 2364) (1249, 2543)] 0.8443862972440517 1
138 [(3267, 2263) (3482, 2478)] 0.4740501915361283 0
139 [(1070, 2364) (1249, 2543)] 0.8075374434312907 1
139 [(3299, 2284) (3478, 2463)] 0.49001895536149453 0
140 [(1070, 2364) (1249, 2543)] 0.8612044840228028 1
140 [(3299, 2304) (3478, 2483)] 0.533054254090994 0
141 [(1070, 2364) (1249, 2543)] 0.8557573987657862 1
141 [(3291, 2263) (3506, 2478)] 0.557566034207925 0
142 [(1070, 2364) (1249, 2543)] 0.8117965623633813 1
142 [(3330, 2318) (3479, 2467)] 0.5314449168391224 0
143 [(3319, 2304) (3498, 2483)] 0.5255352340397822 0
143 [(1070, 2364) (1249, 2543)] 0.8415444353471243 1
144 [(1070, 2364) (1249, 2543)] 0.8556060191469971 1
144 [(3319, 2304) (3498, 2483)] 0.4993111324334228 0
145 [(3339, 2304) (3518, 2483)] 0.5190735773081389 0
145 [(1070, 2364) (1249, 2543)] 0.851838235413187 1
146 [(3339, 2304) (3518, 2483)] 0.5063979024904927 0
146 [(1070, 2364) (1249, 2543)] 0.818462392037387 1
147 [(3339, 2304) (3518, 2483)] 0.4964081734039666 0
147 [(1070, 2364) (1249, 2543)] 0.8379152151451245 1
148 [(3339, 2304) (3518, 2483)] 0.4835658938069523 0
148 [(1070, 2364) (1249, 2543)] 0.8378944886105574 1
149 [(3359, 2304) (3538, 2483)] 0.49361184481522086 0
149 [(1070, 2364) (1249, 2543)] 0.8222981731975407 1
150 [(3359, 2304) (3538, 2483)] 0.45492018728617917 0
150 [(1070, 2364) (1249, 2543)] 0.8827173350737931 1
151 [(3359, 2304) (3538, 2483)] 0.4775842344684711 0
151 [(1070, 2364) (1249, 2543)] 0.8284132440059142 1
152 [(3359, 2304) (3538, 2483)] 0.4662001711806186 0
152 [(1070, 2364) (1249, 2543)] 0.8699940054351468 1
153 [(3359, 2304) (3538, 2483)] 0.42009971735682206 0
153 [(1070, 2364) (1249, 2543)] 0.904123178770472 1
154 [(3359, 2304) (3538, 2483)] 0.4544474878150147 0
154 [(1070, 2364) (1249, 2543)] 0.8431752467496447 1
155 [(3359, 2304) (3538, 2483)] 0.46539870444756526 0
155 [(1070, 2364) (1249, 2543)] 0.8365545939736809 1
156 [(3359, 2304) (3538, 2483)] 0.4324165507335091 0
156 [(1070, 2364) (1249, 2543)] 0.8839052429273352 1
157 [(3359, 2304) (3538, 2483)] 0.4435285768314176 0
157 [(1070, 2364) (1249, 2543)] 0.8453230311794372 1
158 [(3359, 2304) (3538, 2483)] 0.42300985059613155 0
158 [(1070, 2364) (1249, 2543)] 0.8507453016121763 1
159 [(3359, 2304) (3538, 2483)] 0.44558201311259166 0
159 [(1070, 2364) (1249, 2543)] 0.8416060163623046 1
160 [(3359, 2304) (3538, 2483)] 0.467678017737958 0
160 [(1070, 2364) (1249, 2543)] 0.8531356385771963 1
161 [(3359, 2304) (3538, 2483)] 0.5041326337761813 0
161 [(1070, 2364) (1249, 2543)] 0.8528523848098513 1
